Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,27.990226,214.009998,214.499996,212.380001,213.429998,AAPL,123432400
2010-01-05,28.038618,214.379993,215.589994,213.249994,214.599998,AAPL,150476200
2010-01-06,27.592626,210.969995,215.23,210.750004,214.379993,AAPL,138040000
2010-01-07,27.541619,210.58,212.000006,209.050005,211.75,AAPL,119282800
2010-01-08,27.724725,211.980005,212.000006,209.060005,210.299994,AAPL,111902700
2010-01-11,27.480148,210.110003,213.000002,208.450005,212.799997,AAPL,115557400
2010-01-12,27.167562,207.720001,209.769995,206.419998,209.189995,AAPL,148614900
2010-01-13,27.550775,210.650002,210.929995,204.099998,207.870005,AAPL,151473000
2010-01-14,27.391211,209.43,210.459997,209.020004,210.110003,AAPL,108223500
2010-01-15,26.933449,205.93,211.599997,205.869999,210.929995,AAPL,148516900
2010-01-19,28.124939,215.039995,215.189999,207.240004,208.330002,AAPL,182501900
2010-01-20,27.692027,211.73,215.549994,209.500002,214.910006,AAPL,153038200
2010-01-21,27.213337,208.069996,213.309996,207.210003,212.079994,AAPL,152038600
2010-01-22,25.863592,197.75,207.499996,197.16,206.780006,AAPL,220441900
2010-01-25,26.559391,203.070002,204.699999,200.190002,202.510002,AAPL,266424900
2010-01-26,26.934757,205.940001,213.710005,202.580004,205.950001,AAPL,466777500
2010-01-27,27.188489,207.880005,210.58,199.530001,206.849995,AAPL,430642100
2010-01-28,26.065007,199.289995,205.500004,198.699995,204.930004,AAPL,293375600
2010-01-29,25.119401,192.060003,202.199995,190.250002,201.079996,AAPL,311488100
2010-02-01,25.468608,194.729998,196.00,191.299999,192.369997,AAPL,187469100
2010-02-02,25.6164,195.859997,196.319994,193.379993,195.909998,AAPL,174585600
2010-02-03,26.057159,199.229994,200.200003,194.420004,195.169994,AAPL,153832000
2010-02-04,25.118093,192.050003,198.370001,191.570005,196.730003,AAPL,189413000
2010-02-05,25.564084,195.460001,196.00,190.850002,192.630003,AAPL,212576700
2010-02-08,25.388826,194.119997,197.880003,193.999994,195.690006,AAPL,119567700
2010-02-09,25.659561,196.190004,197.499994,194.749998,196.419996,AAPL,158221700
2010-02-10,25.519617,195.120007,196.60,194.26,195.889997,AAPL,92590400
2010-02-11,25.983917,198.669994,199.750006,194.059996,194.880001,AAPL,137586400
2010-02-12,26.207567,200.379993,201.639996,195.500002,198.109995,AAPL,163867200
2010-02-16,26.602551,203.399996,203.690002,201.520006,201.940002,AAPL,135934400
2010-02-17,26.491381,202.550003,204.310003,200.860004,204.190001,AAPL,109099200
2010-02-18,26.54108,202.929998,203.889994,200.920006,201.629995,AAPL,105706300
2010-02-19,26.376286,201.669996,203.200005,201.109997,201.860001,AAPL,103867400
2010-02-22,26.212799,200.419994,202.500002,199.190006,202.339998,AAPL,97640900
2010-02-23,25.773347,197.059998,201.330002,195.709993,199.999998,AAPL,143773700
2010-02-24,26.244189,200.66,201.440004,197.840002,198.229998,AAPL,115141600
