Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2012-12-13,11.79,11.79,12.70,9.20,9.25,SCTY,8305400
2012-12-14,11.72,11.72,13.00,11.52,13.00,SCTY,1686500
2012-12-17,12.33,12.33,12.54,11.75,12.54,SCTY,585200
2012-12-18,11.59,11.59,12.96,11.41,12.50,SCTY,790400
2012-12-19,11.22,11.22,11.78,11.00,11.47,SCTY,666400
2012-12-20,10.67,10.67,11.54,10.45,11.54,SCTY,619300
2012-12-21,10.73,10.73,10.93,10.11,10.36,SCTY,359900
2012-12-24,10.84,10.84,11.05,10.76,11.00,SCTY,120800
2012-12-26,11.04,11.04,11.25,10.82,11.20,SCTY,225200
2012-12-27,11.29,11.29,11.49,11.01,11.19,SCTY,255100
2012-12-28,11.57,11.57,11.69,11.30,11.39,SCTY,151600
2012-12-31,11.93,11.93,12.10,11.62,11.62,SCTY,205700
2013-01-02,12.33,12.33,12.98,11.95,12.98,SCTY,505000
2013-01-03,13.02,13.02,13.45,12.15,12.47,SCTY,635100
2013-01-04,14.40,14.40,15.20,13.50,13.71,SCTY,1463400
2013-01-07,15.97,15.97,16.40,15.15,15.60,SCTY,1995600
2013-01-08,14.73,14.73,16.940001,14.38,16.74,SCTY,1472000
2013-01-09,15.65,15.65,16.23,15.00,15.00,SCTY,965500
2013-01-10,15.76,15.76,16.35,14.88,16.02,SCTY,594100
2013-01-11,15.50,15.50,16.059999,15.01,15.80,SCTY,297500
2013-01-14,14.59,14.59,15.47,14.41,15.45,SCTY,611800
2013-01-15,13.72,13.72,14.55,13.34,14.55,SCTY,740600
2013-01-16,13.98,13.98,14.33,13.11,13.60,SCTY,620700
2013-01-17,15.21,15.21,15.36,14.20,14.75,SCTY,659200
2013-01-18,15.92,15.92,16.25,15.22,15.45,SCTY,937200
2013-01-22,16.030001,16.030001,16.450001,15.45,16.25,SCTY,630800
2013-01-23,15.80,15.80,16.209999,15.55,16.15,SCTY,292200
2013-01-24,16.01,16.01,16.40,15.50,15.72,SCTY,375300
2013-01-25,15.49,15.49,15.95,15.21,15.90,SCTY,649700
2013-01-28,15.63,15.63,15.90,15.45,15.45,SCTY,287600
