Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,133.899994,133.899994,136.610001,133.139999,136.25,AMZN,7599900
2010-01-05,134.690002,134.690002,135.479996,131.809998,133.429993,AMZN,8851900
2010-01-06,132.25,132.25,134.729996,131.649994,134.600006,AMZN,7178800
2010-01-07,130.00,130.00,132.320007,128.800003,132.009995,AMZN,11030200
2010-01-08,133.520004,133.520004,133.679993,129.029999,130.559998,AMZN,9830500
2010-01-11,130.309998,130.309998,132.800003,129.210007,132.619995,AMZN,8779400
2010-01-12,127.349998,127.349998,129.820007,126.550003,128.990005,AMZN,9096300
2010-01-13,129.110001,129.110001,129.710007,125.75,127.900002,AMZN,10723200
2010-01-14,127.349998,127.349998,130.380005,126.400002,129.139999,AMZN,9774900
2010-01-15,127.139999,127.139999,129.649994,127.059998,129.179993,AMZN,15376500
2010-01-19,127.610001,127.610001,128.00,124.330002,126.309998,AMZN,8892600
2010-01-20,125.779999,125.779999,129.199997,125.080002,127.129997,AMZN,9074700
2010-01-21,126.620003,126.620003,128.149994,125.00,127.260002,AMZN,9970600
2010-01-22,121.43,121.43,127.669998,120.760002,125.599998,AMZN,11568900
2010-01-25,120.309998,120.309998,122.279999,118.120003,122.099998,AMZN,12023900
2010-01-26,119.480003,119.480003,122.980003,119.059998,120.559998,AMZN,9559000
2010-01-27,122.75,122.75,123.330002,118.800003,121.029999,AMZN,14765300
2010-01-28,126.029999,126.029999,127.199997,122.800003,124.43,AMZN,27293100
2010-01-29,125.410004,125.410004,131.850006,124.139999,129.770004,AMZN,29471300
2010-02-01,118.870003,118.870003,124.860001,113.82,123.18,AMZN,37774400
2010-02-02,118.120003,118.120003,118.980003,114.400002,118.790001,AMZN,23079700
2010-02-03,119.099998,119.099998,119.610001,116.559998,117.120003,AMZN,12405900
2010-02-04,115.940002,115.940002,120.330002,115.739998,118.639999,AMZN,12784000
2010-02-05,117.389999,117.389999,117.650002,114.099998,115.879997,AMZN,11024800
2010-02-08,116.830002,116.830002,121.00,116.559998,119.379997,AMZN,9890200
2010-02-09,118.029999,118.029999,119.089996,117.00,118.199997,AMZN,9223000
2010-02-10,117.360001,117.360001,118.610001,116.00,118.00,AMZN,6233200
